address,location/lat,location/lng,name,numberOfGuests,pricing/nights,pricing/rate/amount,pricing/rate/amountFormatted,pricing/rateType,pricing/totalPrice/accommodation,pricing/totalPrice/amount,pricing/totalPrice/amountFormatted,pricing/totalPrice/cleaningFee,pricing/totalPrice/currency,pricing/totalPrice/guestFee,primaryHost/badges/0,primaryHost/badges/1,roomType,stars,stand address,praia,price per guest,price per night,norm price per guest,reviews numerical,score
"Recife, Pernambuco, Brazil",-8.13699,-34.90222,Apartamento Beira Mar de Boa Viagem,6,3,456.33,R$456.33,nightly,1050,1369,"R$1,369",150.0,BRL,169.0,44 Reviews,Identity verified,Entire rental unit,4.53,Recife,0,76.056,456.333,0.994,44.0,6.355
"Graças, Pernambuco, Brazil",-8.0499,-34.90034,Ótimo 3 quartos no privilegiado bairro das Graças,5,3,388.0,R$388,nightly,900,1164,"R$1,164",120.0,BRL,144.0,42 Reviews,Identity verified,Entire rental unit,4.98,Graças,0,77.6,388.0,0.994,42.0,6.29
"Boa Viagem, Pernambuco, Brazil",-8.141,-34.905,Ótima Localização e Conforto em Boa Viagem!,6,3,509.67,R$509.67,nightly,1170,1529,"R$1,529",170.0,BRL,189.0,42 Reviews,Identity verified,Entire rental unit,4.9,Boa Viagem,1,84.944,509.667,0.993,42.0,6.266
"Recife, Pernambuco, Brazil",-8.1124,-34.8989,"Flat Boa Viagem -
Apart Hotel Bristol Beach Class",6,3,399.33,R$399.33,nightly,900,1198,"R$1,198",150.0,BRL,148.0,42 Reviews,Identity verified,Entire rental unit,4.82,Recife,0,66.556,399.333,0.995,42.0,6.243
"Boa Viagem, Pernambuco, Brazil",-8.132,-34.908,O QUE VOCÊ PRECISA!!  Localização e conforto!,10,3,547.67,R$547.67,nightly,1390,1643,"R$1,643",120.0,BRL,203.0,42 Reviews,Identity verified,Entire rental unit,4.67,Boa Viagem,1,54.767,547.667,0.996,42.0,6.199
"Centro, Pernambuco, Brazil",-8.17888,-34.9168,Um Lindo Lugar para Desfrutar!,4,3,285.33,R$856,nightly,750,856,R$856,,BRL,106.0,40 Reviews,Identity verified,Entire serviced apartment,4.82,Centro,0,71.333,285.333,0.994,40.0,6.042
"Soledade, Pernambuco, Brazil",-8.049,-34.89,Cozy room near downtown,2,3,91.33,R$274,nightly,240,274,R$274,,BRL,34.0,38 Reviews,Identity verified,Private room in condo,4.82,Soledade,0,45.667,91.333,0.996,38.0,5.844
"Boa Viagem, Pernambuco, Brazil",-8.1176,-34.8995,Beach Class Hotels & Residence - Flat 2405,4,3,308.0,R$924,nightly,810,924,R$924,,BRL,114.0,37 Reviews,Identity verified,Entire serviced apartment,5.0,Boa Viagem,1,77.0,308.0,0.994,37.0,5.796
"Recife, Pernambuco, Brazil",-8.034,-34.887,O Mundo Lá de Casa,4,3,684.67,R$684.67,nightly,1800,2054,"R$2,054",,BRL,254.0,37 Reviews,Identity verified,Private room in home,5.0,Recife,0,171.167,684.667,0.986,37.0,5.792
"Boa Viagem, Pernambuco, Brazil",-8.12814,-34.89686,"Apartamento  Av. Boa Viagem, excelente localização",6,3,275.67,R$827,nightly,705,827,R$827,20.0,BRL,102.0,37 Reviews,Identity verified,Entire rental unit,4.73,Boa Viagem,1,45.944,275.667,0.996,37.0,5.717
