address,location/lat,location/lng,name,numberOfGuests,pricing/nights,pricing/rate/amount,pricing/rate/amountFormatted,pricing/rateType,pricing/totalPrice/accommodation,pricing/totalPrice/amount,pricing/totalPrice/amountFormatted,pricing/totalPrice/cleaningFee,pricing/totalPrice/currency,pricing/totalPrice/guestFee,primaryHost/badges/0,primaryHost/badges/1,roomType,stars,stand address,praia,price per guest,price per night,norm price per guest,reviews numerical,score
"Boa Viagem, Pernambuco, Brazil",-8.117,-34.9,Modern Apartment in Beach Class by Carpediem,4,3,272.33,R$817,nightly,717,817,R$817,100.0,BRL,,3964 Reviews,Identity verified,Entire rental unit,4.52,Boa Viagem,1,68.083,272.333,0.995,3964.0,398.353
"Boa Viagem, Pernambuco, Brazil",-8.09483,-34.88412,PREMIUM COM VARANDA VISTA PANORÂMICA DO MAR 24° ANDAR,4,3,492.0,R$492,nightly,1587,1476,"R$1,476",,BRL,,2690 Reviews,Identity verified,Entire rental unit,4.83,Boa Viagem,1,123.0,492.0,0.99,2690.0,271.043
"Boa Viagem, Pernambuco, Brazil",-8.09477,-34.88304,Apartamento com Duas camas de Casal e Vista do Mar,4,3,310.67,R$932,nightly,1002,932,R$932,,BRL,,2690 Reviews,Identity verified,Private room in rental unit,4.76,Boa Viagem,1,77.667,310.667,0.994,2690.0,271.024
"Recife, Pernambuco, Brazil",-8.09391,-34.88481,FLAT ALTO LUXO DECORADO BEIRA MAR ANDAR ALTO 1503,4,3,403.0,R$403,nightly,1209,1209,"R$1,209",,BRL,,2690 Reviews,Identity verified,Entire rental unit,4.7,Recife,0,100.75,403.0,0.992,2690.0,271.005
"Boa Viagem, Pernambuco, Brazil",-8.0948,-34.88206,FLAT CHARME ROMÂNTICO VARANDA BEIRA MAR 24° ANDAR,4,3,366.67,R$366.67,nightly,1209,1100,"R$1,100",,BRL,,2690 Reviews,Identity verified,Entire rental unit,4.66,Boa Viagem,1,91.667,366.667,0.993,2690.0,270.994
"Boa Viagem, Pernambuco, Brazil",-8.09611,-34.88309,Apartment facing the sea in Boa Viagem,2,3,233.0,R$699,nightly,628,699,R$699,102.0,BRL,,1372 Reviews,Identity verified,Entire condo,4.54,Boa Viagem,1,116.5,233.0,0.991,1372.0,139.157
"Recife, Pernambuco, Brazil",-8.08622,-34.88843,Luxurious 2 bedroom flat next to CASV and Riomar,6,3,303.33,R$910,nightly,819,910,R$910,132.0,BRL,,1372 Reviews,Identity verified,Entire rental unit,4.49,Recife,0,50.556,303.333,0.996,1372.0,139.145
"Boa Vista, Pernambuco, Brazil",-8.05976,-34.88062,Alegre espaçoso apto002 às margens do Capibaribe,4,3,110.33,R$331,nightly,240,331,R$331,50.0,BRL,41.0,966 Reviews,Identity verified,Entire rental unit,4.57,Boa Vista,0,27.583,110.333,0.998,966.0,98.57
"Boa Vista, Pernambuco, Brazil",-8.06009,-34.88202,Alegre e espaçoso apto007 às margens do Capibaribe,2,3,108.33,R$325,nightly,261,325,R$325,50.0,BRL,40.0,966 Reviews,Identity verified,Entire rental unit,4.26,Boa Vista,0,54.167,108.333,0.996,966.0,98.476
"Recife, Pernambuco, Brazil",-8.09193,-34.88687,Flat funcional e acolhedor!No Pina perto de tudo,5,3,99.0,R$297,nightly,240,297,R$297,20.0,BRL,37.0,927 Reviews,Identity verified,Entire loft,4.77,Recife,0,19.8,99.0,0.998,927.0,94.73
"Recife , Pernambuco, Brazil",-8.09019,-34.88722,Flat estiloso SUSTENTÁVEL no Pina,4,3,101.33,R$304,nightly,240,304,R$304,26.0,BRL,38.0,927 Reviews,Identity verified,Entire serviced apartment,4.7,Recife,0,25.333,101.333,0.998,927.0,94.709
"Boa Viagem, Pernambuco, Brazil",-8.1258,-34.90421,The boutique apartment,5,3,323.67,R$971,nightly,731,971,R$971,120.0,BRL,120.0,799 Reviews,Identity verified,Entire rental unit,4.93,Boa Viagem,1,64.733,323.667,0.995,799.0,81.976
"Boa Viagem, Pernambuco, Brazil",-8.12629,-34.89853,The boutique apartment 2 - Boa Viagem,4,3,335.0,R$335,nightly,761,1005,"R$1,005",120.0,BRL,124.0,799 Reviews,Identity verified,Entire rental unit,4.89,Boa Viagem,1,83.75,335.0,0.993,799.0,81.963
"recife, Pernambuco, Brazil",-8.087,-34.889,"Boa Viagem - Pina, Recife,  B. Class Excelsior",7,3,266.33,R$799,nightly,600,799,R$799,100.0,BRL,99.0,527 Reviews,Identity verified,Entire serviced apartment,4.82,Recife,0,38.048,266.333,0.997,527.0,54.744
"Recife, Pernambuco, Brazil",-8.11601,-34.8997,"Recife, Boa Viagem, Beach Class, Shopping e Praia",6,3,266.33,R$799,nightly,600,799,R$799,100.0,BRL,99.0,527 Reviews,Identity verified,Entire rental unit,4.75,Recife,0,44.389,266.333,0.996,527.0,54.723
"Recife, Pernambuco, Brazil",-8.11543,-34.89985,"Boa Viagem Recife, Beach Class BV Melhor Local",6,3,266.33,R$799,nightly,600,799,R$799,100.0,BRL,99.0,527 Reviews,Identity verified,Entire rental unit,4.73,Recife,0,44.389,266.333,0.996,527.0,54.717
"Boa Viagem, Pernambuco, Brazil",-8.11777,-34.89877,Recife- Boa Viagem Flat Hotel e Residence,3,3,266.33,R$799,nightly,600,799,R$799,100.0,BRL,99.0,527 Reviews,Identity verified,Entire serviced apartment,4.7,Boa Viagem,1,88.778,266.333,0.993,527.0,54.706
"Boa Viagem, Pernambuco, Brazil",-8.11764,-34.9004,Recife e Boa Viagem - Beach C-Hotels e Residence,2,3,266.33,R$799,nightly,600,799,R$799,100.0,BRL,99.0,527 Reviews,Identity verified,Entire serviced apartment,4.62,Boa Viagem,1,133.167,266.333,0.989,527.0,54.679
"Recife, Pernambuco, Brazil",-8.11403,-34.89958,"NOB2105 Excellent Flat in Boa Viagem, two bedrooms, in Beach Class Convention By HÔM. Ideal for families and executives",5,3,418.33,R$418.33,nightly,1002,1255,"R$1,255",253.0,BRL,,518 Reviews,5 References,Entire rental unit,4.89,Recife,0,83.667,418.333,0.993,518.0,53.863
"Recife, Pernambuco, Brazil",-8.139,-34.906,PM805 Excellent flat in Boa Viagem surrounded by restaurants and supermarkets,4,3,299.0,R$897,nightly,690,897,R$897,207.0,BRL,,518 Reviews,5 References,Entire rental unit,4.88,Recife,0,74.75,299.0,0.994,518.0,53.86
"Recife, Pernambuco, Brazil",-8.13792,-34.90668,"PM306 Excellent apartment for 5 people in Boa Viagem, ideal for families and executives",5,3,383.33,R$383.33,nightly,897,1150,"R$1,150",253.0,BRL,,518 Reviews,5 References,Entire rental unit,4.58,Recife,0,76.667,383.333,0.994,518.0,53.77
"Recife, Pernambuco, Brazil",-8.03509,-34.90364,"PBO902 Great Flat in the Jaqueira neighborhood in Recife, the greenest neighborhood in the city",3,3,276.0,R$828,nightly,621,828,R$828,207.0,BRL,,518 Reviews,5 References,Entire rental unit,4.53,Recife,0,92.0,276.0,0.993,518.0,53.755
"Recife, Pernambuco, Brazil",-8.139,-34.906,"PM802 Excellent flat in Boa Viagem, surrounded by restaurants and supermarkets",4,3,288.0,R$864,nightly,657,864,R$864,207.0,BRL,,518 Reviews,5 References,Entire rental unit,4.48,Recife,0,72.0,288.0,0.994,518.0,53.74
"Recife, Pernambuco, Brazil",-8.02988,-34.91887,ARN901 Apt. com dois quartos próximo à Praça Casa Forte,4,3,260.0,R$780,nightly,630,780,R$780,150.0,BRL,,518 Reviews,5 References,Entire rental unit,0.0,Recife,0,65.0,260.0,0.995,518.0,52.397
"Boa Viagem, Pernambuco, Brazil",-8.1079,-34.88818,"RAD2704 Excellent Flat beachfront of Boa Viagem beach, the Radisson Hotel, the best local waterfront",3,3,437.0,R$437,nightly,1104,1311,"R$1,311",207.0,BRL,,518 Reviews,5 References,Entire rental unit,0.0,Boa Viagem,1,145.667,437.0,0.988,518.0,52.393
"Boa Viagem, Pernambuco, Brazil",-8.131,-34.905,Quarto suíte em Boa Viagem,2,3,77.0,R$231,nightly,202,231,R$231,,BRL,29.0,498 Reviews,Identity verified,Private room in rental unit,4.95,Boa Viagem,1,38.5,77.0,0.997,498.0,51.883
"Casa Amarela, Pernambuco, Brazil",-8.02417,-34.92408,Quarto em Casa Amarela,2,3,55.67,R$167,nightly,162,167,R$167,,BRL,21.0,488 Reviews,4 References,Private room in home,5.0,Casa Amarela,0,27.833,55.667,0.998,488.0,50.899
"Boa Viagem, Pernambuco, Brazil",-8.14159,-34.91473,Kitnet Pertinho do Aeroporto,3,3,114.0,R$342,nightly,270,342,R$342,30.0,BRL,42.0,469 Reviews,Identity verified,Entire loft,4.55,Boa Viagem,1,38.0,114.0,0.997,469.0,48.863
"Ilha do Retiro, Pernambuco, Brazil",-8.06278,-34.90695,ACONCHEGANTE APTO NO CORAÇÃO DO RECIFE.,2,3,285.33,R$856,nightly,750,856,R$856,,BRL,106.0,431 Reviews,Identity verified,Entire rental unit,4.97,Ilha do Retiro,0,142.667,285.333,0.989,431.0,45.184
"Boa Viagem, Pernambuco, Brazil",-8.09213,-34.88235,casa de Fazenda Tatuí,8,3,1369.33,R$1369.33,nightly,3600,4108,"R$4,108",,BRL,508.0,442 Reviews,Identity verified,Ranch,0.0,Boa Viagem,1,171.167,1369.333,0.986,442.0,44.792
"Boa Viagem, Pernambuco, Brazil",-8.13449,-34.90665,"Melhor de Boa Viagem seguro, limpo e confortável.",5,3,140.67,R$422,nightly,250,422,R$422,120.0,BRL,52.0,421 Reviews,Identity verified,Entire rental unit,4.78,Boa Viagem,1,28.133,140.667,0.998,421.0,44.133
"Boa Viagem, Pernambuco, Brazil",-8.09511,-34.88222,Flat TOP -Beach Class Internacional Av. Boa Viagem,4,3,715.0,R$715,nightly,1800,2145,"R$2,145",80.0,BRL,265.0,413 Reviews,Identity verified,Entire serviced apartment,4.59,Boa Viagem,1,178.75,715.0,0.986,413.0,43.269
"Recife, Pernambuco, Brazil",-8.14107,-34.90456,Viva como Recifense em Flat Conceito com Vista Mar,4,3,291.67,R$875,nightly,687,875,R$875,80.0,BRL,108.0,382 Reviews,3 References,Entire serviced apartment,4.77,Recife,0,72.917,291.667,0.994,382.0,40.227
"Boa Viagem, Pernambuco, Brazil",-8.11201,-34.8998,Flat top de 2 quartos boa viagem dentro de hotel,6,3,274.0,R$822,nightly,720,822,R$822,,BRL,102.0,373 Reviews,Identity verified,Entire rental unit,4.79,Boa Viagem,1,45.667,274.0,0.996,373.0,39.335
"Boa Viagem, Pernambuco, Brazil",-8.11649,-34.90013,Apartamento Bem Localizado em Boa Viagem,6,3,280.0,R$840,nightly,740,840,R$840,100.0,BRL,,366 Reviews,Identity verified,Entire rental unit,4.41,Boa Viagem,1,46.667,280.0,0.996,366.0,38.521
"Recife, Pernambuco, Brazil",-8.12854,-34.9037,"Flat em Boa Viagem, ótima localização!!",4,3,150.0,R$450,nightly,294,450,R$450,100.0,BRL,56.0,360 Reviews,Identity verified,Entire rental unit,4.72,Recife,0,37.5,150.0,0.997,360.0,38.014
"Engenho do Meio, Pernambuco, Brazil",-8.055,-34.946,Ap Quitinete - UFPE - ao lado da reitoria (4),5,3,94.67,R$284,nightly,150,284,R$284,99.0,BRL,35.0,356 Reviews,Identity verified,Entire rental unit,4.88,Engenho do Meio,0,18.933,94.667,0.998,356.0,37.663
"Boa Viagem, Pernambuco, Brazil",-8.14,-34.905,Flat Luxury Soho frente na praia de Boa Viagem,4,3,281.33,R$844,nightly,660,844,R$844,80.0,BRL,104.0,349 Reviews,1 Reference,Entire serviced apartment,4.86,Boa Viagem,1,70.333,281.333,0.994,349.0,36.954
"Boa Viagem, Pernambuco, Brazil",-8.12227,-34.90593,607 flat em Boa Viagem ao lado do Shopping Recife,2,3,312.0,R$936,nightly,750,936,R$936,70.0,BRL,116.0,343 Reviews,Identity verified,Entire loft,4.89,Boa Viagem,1,156.0,312.0,0.988,343.0,36.36
"Boa Viagem, Pernambuco, Brazil",-8.12209,-34.90579,1007 Flat em Boa viagem ao lado do shopping Recife,2,3,312.0,R$936,nightly,750,936,R$936,70.0,BRL,116.0,343 Reviews,Identity verified,Entire loft,4.86,Boa Viagem,1,156.0,312.0,0.988,343.0,36.351
"Boa Viagem, Pernambuco, Brazil",-8.11796,-34.89971,"MELHOR LOCALIZAÇÃO, NO CORAÇÃO DE BOA VIAGEM",7,3,150.0,R$450,nightly,294,450,R$450,100.0,BRL,56.0,340 Reviews,Identity verified,Entire rental unit,4.79,Boa Viagem,1,21.429,150.0,0.998,340.0,36.036
"Recife, Pernambuco, Brazil",-8.11694,-34.91033,Excelente APT,9,3,135.0,R$405,nightly,255,405,R$405,100.0,BRL,50.0,340 Reviews,Identity verified,Entire condo,4.69,Recife,0,15.0,135.0,0.999,340.0,36.006
"Recife, Pernambuco, Brazil",-8.13257,-34.90378,RAMADA FLAT FRENTE MAR 20* Andar,5,3,285.33,R$856,nightly,680,856,R$856,70.0,BRL,106.0,317 Reviews,Identity verified,Entire rental unit,4.61,Recife,0,57.067,285.333,0.995,317.0,33.68
"Recife, Pernambuco, Brazil",-8.108,-34.889,Spacious Apartment Boa Viagem Beach,10,3,833.33,R$833.33,nightly,2300,2500,"R$2,500",200.0,BRL,,285 Reviews,Identity verified,Entire rental unit,4.91,Recife,0,83.333,833.333,0.993,285.0,30.569
"Boa Viagem, Pernambuco, Brazil",-8.125,-34.898,Certeza que ficará encantado com sua estadia,6,3,406.33,R$406.33,nightly,928,1219,"R$1,219",140.0,BRL,151.0,260 Reviews,Identity verified,Entire rental unit,4.88,Boa Viagem,1,67.722,406.333,0.995,260.0,28.061
"Boa Viagem, Pernambuco, Brazil",-8.11871,-34.89641,Um sonho de estadia - Flat Luxo e Design,4,3,306.33,R$919,nightly,675,919,R$919,130.0,BRL,114.0,260 Reviews,Identity verified,Entire rental unit,4.86,Boa Viagem,1,76.583,306.333,0.994,260.0,28.054
"Recife, Pernambuco, Brazil",-8.125,-34.898,"Encantaremos você, Apto lindo próximo à praia.",6,3,406.33,R$406.33,nightly,928,1219,"R$1,219",140.0,BRL,151.0,260 Reviews,Identity verified,Entire condo,4.8,Recife,0,67.722,406.333,0.995,260.0,28.037
"Recife, Pernambuco, Brazil",-8.14144,-34.90595,"Apartamento Duplex em Boa Viagem Setubal,",8,3,274.0,R$822,nightly,600,822,R$822,120.0,BRL,102.0,256 Reviews,Identity verified,Entire condo,4.77,Recife,0,34.25,274.0,0.997,256.0,27.629
"Boa Viagem, Pernambuco, Brazil",-8.10777,-34.88826,Lindo apartamento com piscina - Beira Mar B.Viagem,4,3,250.0,R$750,nightly,597,750,R$750,60.0,BRL,93.0,255 Reviews,Identity verified,Entire rental unit,4.79,Boa Viagem,1,62.5,250.0,0.995,255.0,27.534
"Boa Viagem, Pernambuco, Brazil",-8.117,-34.894,Exclusivo. Permita-se uma experiência diferente,5,3,562.67,R$562.67,nightly,1279,1688,"R$1,688",200.0,BRL,209.0,238 Reviews,Identity verified,Entire rental unit,4.91,Boa Viagem,1,112.533,562.667,0.991,238.0,25.868
"Recife, Pernambuco, Brazil",-8.09356,-34.88189,FLAT DE LUXO EM FRENTE À PRAIA DE BOA VIAGEM,2,3,232.0,R$696,nightly,610,696,R$696,,BRL,86.0,226 Reviews,Identity verified,Entire rental unit,4.86,Recife,0,116.0,232.0,0.991,226.0,24.653
"Santana, Pernambuco, Brazil",-8.04042,-34.91774,POUSADA FLAT HOTEL EM CASA FORTE RECIFE - PE (02),3,3,306.0,R$918,nightly,804,918,R$918,,BRL,114.0,226 Reviews,Identity verified,Private room in serviced apartment,4.67,Santana,0,102.0,306.0,0.992,226.0,24.596
"Recife, Pernambuco, Brazil",-8.03847,-34.90444,Room Perfect Park Jaqueira,2,3,110.33,R$331,nightly,240,331,R$331,50.0,BRL,41.0,215 Reviews,9 References,Private room in rental unit,4.97,Recife,0,55.167,110.333,0.996,215.0,23.589
"Recife, Pernambuco, Brazil",-8.0942,-34.88439,Quarto em hotel de luxo na praia de boa viagem,2,3,232.0,R$696,nightly,610,696,R$696,,BRL,86.0,226 Reviews,Identity verified,Entire rental unit,0.0,Recife,0,116.0,232.0,0.991,226.0,23.195
"Recife, Pernambuco, Brazil",-8.09525,-34.88305,Apt 1508 Beach Class Executive beira mar c/varanda,4,3,312.0,R$936,nightly,765,936,R$936,55.0,BRL,116.0,210 Reviews,Identity verified,Entire serviced apartment,4.98,Recife,0,78.0,312.0,0.994,210.0,23.09
"Recife, Pernambuco, Brazil",-8.034,-34.919,Luxury apartment with panoramic views,8,3,818.0,R$818,nightly,2000,2454,"R$2,454",150.0,BRL,304.0,209 Reviews,Identity verified,Entire rental unit,4.86,Recife,0,102.25,818.0,0.992,209.0,22.953
"Boa Viagem, Pernambuco, Brazil",-8.10646,-34.88918,De frente para o MAR. Dentro de um hotel Radisson,4,3,468.0,R$468,nightly,1230,1404,"R$1,404",,BRL,174.0,187 Reviews,Identity verified,Entire serviced apartment,4.89,Boa Viagem,1,117.0,468.0,0.991,187.0,20.762
"Boa Viagem, Pernambuco, Brazil",-8.11331,-34.90008,Lindo Flat Boa Viagem 2 quartos,4,3,323.33,R$970,nightly,750,970,R$970,100.0,BRL,120.0,186 Reviews,Identity verified,Entire serviced apartment,4.76,Boa Viagem,1,80.833,323.333,0.994,186.0,20.624
"Boa viagem, Pernambuco, Brazil",-8.1347,-34.90398,New Look,7,3,433.67,R$433.67,nightly,1140,1301,"R$1,301",,BRL,161.0,178 Reviews,Identity verified,Entire condo,4.91,Boa Viagem,1,61.952,433.667,0.995,178.0,19.87
"Mangueira, Pernambuco, Brazil",-8.074,-34.924,Refúgio e tranquilidade -  Apartamento Inteiro,3,3,105.0,R$315,nightly,240,315,R$315,36.0,BRL,39.0,175 Reviews,Identity verified,Entire rental unit,4.96,Mangueira,0,35.0,105.0,0.997,175.0,19.586
"Recife, Pernambuco, Brazil",-8.07372,-34.9237,Sua Casa No Recife ( Excelente Custo Benefício ),4,3,93.33,R$280,nightly,210,280,R$280,35.0,BRL,35.0,175 Reviews,Identity verified,Entire rental unit,4.84,Recife,0,23.333,93.333,0.998,175.0,19.551
"Graças, Pernambuco, Brazil",-8.047,-34.902,"Super Apto bairro Graças / 4 quartos, 3 banheiros",9,3,359.33,R$359.33,nightly,720,1078,"R$1,078",225.0,BRL,133.0,166 Reviews,1 Reference,Entire rental unit,4.76,Graças,0,39.926,359.333,0.997,166.0,18.626
"Boa Viagem, Pernambuco, Brazil",-8.111,-34.894,"400m da Praia Boa Viagem, Wi-Fi 500Mbps - Piscina",4,3,229.0,R$687,nightly,870,687,R$687,95.0,BRL,,160 Reviews,Identity verified,Entire serviced apartment,4.99,Boa Viagem,1,57.25,229.0,0.995,160.0,18.094
"Boa Viagem, Pernambuco, Brazil",-8.11861,-34.901,Flat no Hotel Imperial Suites!,4,3,251.0,R$753,nightly,600,753,R$753,60.0,BRL,93.0,157 Reviews,Identity verified,Entire serviced apartment,4.85,Boa Viagem,1,62.75,251.0,0.995,157.0,17.752
"Boa Viagem, Pernambuco, Brazil",-8.09429,-34.88313,"FLAT Beira Mar,  Beach Class Executive",4,3,313.0,R$939,nightly,823,939,R$939,,BRL,116.0,158 Reviews,Identity verified,Entire serviced apartment,4.49,Boa Viagem,1,78.25,313.0,0.994,158.0,17.743
"Boa Vista, Pernambuco, Brazil",-8.06348,-34.90006,Lar Doce Lar -2 -área central e segura do Recife,1,3,112.33,R$337,nightly,255,337,R$337,40.0,BRL,42.0,152 Reviews,Identity verified,Private room in rental unit,4.74,Boa Vista,0,112.333,112.333,0.991,152.0,17.217
"Boa Viagem, Pernambuco, Brazil",-8.12481,-34.89908,Apt 5| 50 m da praia | Vista do mar | Wi-Fi 200 mb,4,3,353.67,R$353.67,nightly,780,1061,"R$1,061",150.0,BRL,131.0,145 Reviews,Identity verified,Entire rental unit,4.88,Boa Viagem,1,88.417,353.667,0.993,145.0,16.56
"Recife, Pernambuco, Brazil",-8.11553,-34.8924,"Superb beachfront apartment, Recife",6,3,634.0,R$634,nightly,1667,1902,"R$1,902",,BRL,235.0,142 Reviews,Identity verified,Entire condo,4.9,Recife,0,105.667,634.0,0.992,142.0,16.265
"Boa Viagem, Pernambuco, Brazil",-8.13138,-34.90635,"Top! Apto confort/3 qtos,130m²-Boa Viagem/Recife",8,3,502.0,R$502,nightly,1200,1506,"R$1,506",120.0,BRL,186.0,139 Reviews,Identity verified,Entire rental unit,4.99,Boa Viagem,1,62.75,502.0,0.995,139.0,15.994
"Recife, Pernambuco, Brazil",-8.12972,-34.90114,cobertura com piscina,6,3,679.0,R$679,nightly,1785,2037,"R$2,037",,BRL,252.0,136 Reviews,Identity verified,Entire rental unit,4.84,Recife,0,113.167,679.0,0.991,136.0,15.647
"Boa Viagem, Pernambuco, Brazil",-8.12626,-34.89864,BOA VIAGEM - 3 QUARTOS - MELHOR PONTO DA PRAIA,8,3,331.0,R$993,nightly,740,993,R$993,130.0,BRL,123.0,136 Reviews,Identity verified,Entire rental unit,4.79,Boa Viagem,1,41.375,331.0,0.997,136.0,15.635
"Boa Viagem, Pernambuco, Brazil",-8.13144,-34.90231,Três Quartos - Vista do mar - Junto à Pracinha,8,3,350.0,R$350,nightly,790,1050,"R$1,050",130.0,BRL,130.0,136 Reviews,Identity verified,Entire rental unit,4.79,Boa Viagem,1,43.75,350.0,0.996,136.0,15.635
"Várzea, Pernambuco, Brazil",-8.04121,-34.95048,Varzea casa Denise (edícula) quarto 2,1,3,68.33,R$205,nightly,180,205,R$205,,BRL,25.0,135 Reviews,Identity verified,Entire guesthouse,5.0,Várzea,0,68.333,68.333,0.995,135.0,15.597
"Recife, Pernambuco, Brazil",-8.10827,-34.88795,Flat Radisson Recife,4,3,567.67,R$567.67,nightly,1332,1703,"R$1,703",160.0,BRL,211.0,129 Reviews,Identity verified,Entire serviced apartment,4.94,Recife,0,141.917,567.667,0.989,129.0,14.975
"Recife, Pernambuco, Brazil",-8.13679,-34.90492,Quarto / Boa Viagem / RECIFE,2,3,114.0,R$342,nightly,270,342,R$342,30.0,BRL,42.0,129 Reviews,1 Reference,Private room in rental unit,4.9,Recife,0,57.0,114.0,0.995,129.0,14.967
"Casa Amarela, Pernambuco, Brazil",-8.02685,-34.91448,Casa Amarela: conforto e boa localização? Temos!,4,3,277.67,R$833,nightly,610,833,R$833,120.0,BRL,103.0,121 Reviews,Identity verified,Entire rental unit,4.97,Casa Amarela,0,69.417,277.667,0.994,121.0,14.187
"Boa Viagem, Pernambuco, Brazil",-8.117,-34.894,"Maravilhoso flat, de 2 dormitórios, a 40m da praia",4,3,471.67,R$471.67,nightly,1050,1415,"R$1,415",190.0,BRL,175.0,119 Reviews,Identity verified,Entire serviced apartment,4.94,Boa Viagem,1,117.917,471.667,0.991,119.0,13.977
"Boa Viagem, Pernambuco, Brazil",-8.114,-34.895,"Boa Viagem beach! 5 rooms, 2 floors&comfort relax!",15,3,585.67,R$585.67,nightly,1360,1757,"R$1,757",180.0,BRL,217.0,118 Reviews,Identity verified,Entire rental unit,4.58,Boa Viagem,1,39.044,585.667,0.997,118.0,13.772
"Graças, Pernambuco, Brazil",-8.04635,-34.90065,Cantinho Acolhedor e bem localizado nas Graças,1,3,107.0,R$321,nightly,231,321,R$321,50.0,BRL,40.0,115 Reviews,Identity verified,Private room in rental unit,4.82,Graças,0,107.0,107.0,0.991,115.0,13.541
"Boa Viagem, Pernambuco, Brazil",-8.116,-34.893,Apto inspirador La Belle de Jour em Boa Viagem,6,3,968.0,R$968,nightly,2754,2904,"R$2,904",150.0,BRL,,112 Reviews,Identity verified,Entire rental unit,4.93,Boa Viagem,1,161.333,968.0,0.987,112.0,13.271
"Boa Viagem, Pernambuco, Brazil",-8.095,-34.884,Hotel Nobile Suítes Executive Beira-Mar Boa Viagem,2,3,277.67,R$833,nightly,660,833,R$833,70.0,BRL,103.0,112 Reviews,Identity verified,Entire serviced apartment,4.79,Boa Viagem,1,138.833,277.667,0.989,112.0,13.23
"Recife, Pernambuco, Brazil",-8.11738,-34.90139,"Coraçao de Boa Viagem, recepçao 24h prox aeroporto",4,3,278.33,R$835,nightly,612,835,R$835,120.0,BRL,103.0,110 Reviews,1 Reference,Entire serviced apartment,4.89,Recife,0,69.583,278.333,0.994,110.0,13.063
"Boa Viagem, Pernambuco, Brazil",-8.10807,-34.88968,Apartamento na beira mar de Boa Viagem,2,3,353.67,R$353.67,nightly,930,1061,"R$1,061",,BRL,131.0,106 Reviews,Identity verified,Entire rental unit,4.84,Boa Viagem,1,176.833,353.667,0.986,106.0,12.644
"Recife, Pernambuco, Brazil",-8.0315,-34.93266,Quarto para temporada,1,3,61.67,R$185,nightly,162,185,R$185,,BRL,23.0,102 Reviews,Identity verified,Private room in home,4.92,Recife,0,61.667,61.667,0.995,102.0,12.273
"Recife, Pernambuco, Brazil",-8.03482,-34.91939,Apê 2 quartos (1 suíte) em Casa Forte Wi-Fi 500 MB,6,3,273.0,R$819,nightly,670,819,R$819,149.0,BRL,,102 Reviews,Identity verified,Entire rental unit,4.83,Recife,0,45.5,273.0,0.996,102.0,12.247
"Brasília Teimosa, Pernambuco, Brazil",-8.083,-34.88,casa. 05 com ar mobiliada próximo as praias,5,3,80.0,R$240,nightly,210,240,R$240,,BRL,30.0,100 Reviews,Identity verified,Entire home,4.95,Brasília Teimosa,1,16.0,80.0,0.999,100.0,12.084
"Recife, Pernambuco, Brazil",-8.11639,-34.89383,No melhor de Boa Viagem - 50 mts da praia - 2 qts.,4,3,289.0,R$867,nightly,640,867,R$867,120.0,BRL,107.0,100 Reviews,Identity verified,Entire rental unit,4.84,Recife,0,72.25,289.0,0.994,100.0,12.048
"Boa Viagem, Pernambuco, Brazil",-8.10182,-34.88705,Freitas Residence - Quinta Manuel Rodrigues - 2 quartos,4,3,25000.0,R$25000,nightly,75000,75000,"R$75,000",,BRL,,117 Reviews,Identity verified,Private room in condo,0.0,Boa Viagem,1,6250.0,25000.0,0.5,117.0,12.0
"Brasília Teimosa, Pernambuco, Brazil",-8.08859,-34.88141,casa 04 com ar condicionado mobiliada aprox. praia,4,3,80.0,R$240,nightly,210,240,R$240,,BRL,30.0,100 Reviews,Identity verified,Entire home,4.59,Brasília Teimosa,1,20.0,80.0,0.998,100.0,11.976
"Boa Viagem, Pernambuco, Brazil",-8.10051,-34.88551,Freitas Residence - Quinta Manuel Rodrigues,3,3,25000.0,R$25000,nightly,75000,75000,"R$75,000",,BRL,,117 Reviews,Identity verified,Private room in condo,0.0,Boa Viagem,1,8333.333,25000.0,0.333,117.0,11.9
